"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1325546","39.878919","-104.940585","435",
"1325546","39.878894","-104.940585","436",
"1325546","39.878894","-104.940585","437",
"1325546","39.878869","-104.940585","438",
"1325546","39.878869","-104.940585","439",
"1325546","39.878843","-104.940585","440",
"1325546","39.878843","-104.940585","441",
"1325546","39.878818","-104.940585","442",
"1325546","39.878818","-104.940585","443",
"1325546","39.878793","-104.940585","444",
"1325546","39.878793","-104.940585","445",
"1325546","39.878767","-104.940585","446",
"1325546","39.878767","-104.940585","447",
"1325546","39.878742","-104.940585","448",
"1325546","39.878742","-104.940585","449",
"1325546","39.878717","-104.940585","450",
"1325546","39.878717","-104.940585","451",
"1325546","39.878692","-104.940586","452",
"1325546","39.878692","-104.940586","453",
"1325546","39.878666","-104.940586","454",
"1325546","39.878666","-104.940586","455",
"1325546","39.878641","-104.940587","456",
"1325546","39.878641","-104.940587","457",
"1325546","39.878616","-104.940587","458",
"1325546","39.878616","-104.940587","459",
"1325546","39.878591","-104.940588","460",
"1325546","39.878591","-104.940588","461",
"1325546","39.878565","-104.940589","462",
"1325546","39.878565","-104.940589","463",
"1325546","39.87854","-104.940589","464",
"1325546","39.87854","-104.940589","465",
"1325546","39.878515","-104.94059","466",
"1325546","39.878515","-104.94059","467",
"1325546","39.878489","-104.940591","468",
"1325546","39.878489","-104.940591","469",
"1325546","39.878464","-104.940593","470",
"1325546","39.878464","-104.940593","471",
"1325546","39.878439","-104.940594","472",
"1325546","39.878439","-104.940594","473",
"1325546","39.878249","-104.940609","474",
"1325546","39.878249","-104.940609","475",
"1325546","39.87806","-104.940631","476",
"1325546","39.87806","-104.940631","477",
"1325546","39.877871","-104.940663","478",
"1325546","39.877871","-104.940663","479",
"1325546","39.877683","-104.940702","480",
"1325546","39.877683","-104.940702","481",
"1325546","39.877497","-104.940749","482",
"1325546","39.877497","-104.940749","483",
"1325546","39.877311","-104.940804","484",
"1325546","39.877311","-104.940804","485",
"1325546","39.877127","-104.940868","486",
"1325546","39.877127","-104.940868","487",
"1325546","39.876945","-104.940939","488",
"1325546","39.876945","-104.940939","489",
"1325546","39.876765","-104.941018","490",
"1325546","39.876765","-104.941018","491",
"1325546","39.876587","-104.941104","492",
"1325546","39.876587","-104.941104","493",
"1325546","39.876411","-104.941199","494",
"1325546","39.876411","-104.941199","495",
"1325546","39.876238","-104.941301","496",
"1325546","39.876238","-104.941301","497",
"1325546","39.876215","-104.941315","498",
"1325546","39.876215","-104.941315","499",
"1325546","39.876192","-104.941329","500",
"1325546","39.876192","-104.941329","501",
"1325546","39.87617","-104.941343","502",
"1325546","39.87617","-104.941343","503",
"1325546","39.876147","-104.941358","504",
"1325546","39.876147","-104.941358","505",
"1325546","39.876124","-104.941372","506",
"1325546","39.876124","-104.941372","507",
"1325546","39.876102","-104.941387","508",
"1325546","39.876102","-104.941387","509",
"1325546","39.876079","-104.941402","510",
"1325546","39.876079","-104.941402","511",
"1325546","39.876057","-104.941416","512",
"1325546","39.876057","-104.941416","513",
"1325546","39.876034","-104.941431","514",
"1325546","39.876034","-104.941431","515",
"1325546","39.876012","-104.941446","516",
"1325546","39.876012","-104.941446","517",
"1325546","39.875989","-104.941461","518",
"1325546","39.875989","-104.941461","519",
"1325546","39.875967","-104.941476","520",
"1325546","39.875967","-104.941476","521",
"1325546","39.875944","-104.941492","522",
"1325546","39.875944","-104.941492","523",
"1325546","39.875922","-104.941507","524",
"1325546","39.875922","-104.941507","525",
"1325546","39.875899","-104.941522","526",
"1325546","39.875899","-104.941522","527",
"1325546","39.875877","-104.941537","528",
"1325546","39.875877","-104.941537","529",
"1325546","39.875855","-104.941552","530",
"1325546","39.875855","-104.941552","531",
"1325546","39.875832","-104.941568","532",
"1325546","39.875832","-104.941568","533",
"1325546","39.87581","-104.941583","534",
"1325546","39.87581","-104.941583","535",
"1325546","39.87462","-104.942395","536",
"1325546","39.87462","-104.942395","537",
"1325546","39.87459","-104.942415","538",
"1325546","39.87459","-104.942415","539",
"1325546","39.874559","-104.942436","540",
"1325546","39.874559","-104.942436","541",
"1325546","39.874529","-104.942457","542",
"1325546","39.874529","-104.942457","543",
"1325546","39.874499","-104.942477","544",
"1325546","39.874499","-104.942477","545",
"1325546","39.874468","-104.942498","546",
"1325546","39.874468","-104.942498","547",
"1325546","39.874438","-104.942518","548",
"1325546","39.874438","-104.942518","549",
