"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"26525","26525","Lincoln Ave & 6th St","Vehicles Travelling East","39.536357","-104.813873",,,"0",,,"1"
"23918","23918","S Buckley Rd & Bates Ave","Vehicles Travelling South","39.662924","-104.791243",,,"0",,,"1"
"10842","10842","30th St & Mapleton Ave","Vehicles Travelling North","40.024917","-105.25356",,,"0",,,"1"
"26638","26638","3rd Ave & Collyer St","Vehicles Travelling East","40.163855","-105.097707",,,"0",,,"1"
"22452","22452","Del Mar Cir & 6th Pl","Vehicles Travelling North","39.725033","-104.843067",,,"0",,,"1"
"15059","15059","1600 Block Louisiana Ave","Vehicles Travelling East","39.692884","-104.96774",,,"0",,,"1"
"16342","16342","US 36 & Table Mesa Station Gate E","Vehicles Travelling Northwest","39.987034","-105.232168",,,"0","33743",,"1"
"26184","26184","S Federal Blvd & W Evans Ave Gate B","Vehicles Travelling South","39.677948","-105.02526",,,"0","34140",,"1"
"33628","33628","Adams County Pkwy & Valente Dr","Vehicles Travelling North","39.923401","-104.814009",,,"0",,,"1"
"17635","17635","S Main St & Quail St","Vehicles Travelling North","40.145426","-105.102354",,,"0",,,"1"
"12257","12257","Arapahoe Rd & S Dexter St","Vehicles Travelling West","39.595144","-104.933206",,,"0",,,"1"
"16843","16843","S University Blvd & Hampden Ave","Vehicles Travelling North","39.654511","-104.959385",,,"0",,,"1"
"12490","12490","Broadway & Canyon Blvd","Vehicles Travelling Southeast","40.015157","-105.279133",,,"0",,,"1"
"13409","13409","S Downing St & Iliff Ave","Vehicles Travelling North","39.674712","-104.973399",,,"0",,,"1"
"34351","34351","Pace St & Wyndemere Dr","Vehicles Travelling South","40.193765","-105.074312",,,"0",,,"1"
"20443","20443","Iliff Ave & S Rosemary St","Vehicles Travelling West","39.674967","-104.900667",,,"0",,,"1"
"20264","20264","Lamar St & W 61st Ave","Vehicles Travelling South","39.807311","-105.067388",,,"0",,,"1"
"12013","12013","W Alameda Ave & S Hooker St","Vehicles Travelling West","39.711243","-105.029121",,,"0",,,"1"
"17082","17082","S Wadsworth Blvd & W Mississippi Ave","Vehicles Travelling North","39.697105","-105.081348",,,"0",,,"1"
"13884","13884","W Florida Ave & S Federal Blvd","Vehicles Travelling West","39.689525","-105.026204",,,"0",,,"1"
"33850","33850","US 85 / Bridge St","Vehicles Travelling North","39.984264","-104.823496",,,"1",,,"0"
"13827","13827","S Federal Blvd & W Jewell Ave","Vehicles Travelling North","39.682532","-105.024946",,,"0",,,"1"
"15770","15770","S Parker Rd & Lehigh Ave","Vehicles Travelling North","39.647659","-104.82876",,,"0",,,"1"
"34949","34949","W 55th Ave & Zephyr Ct","Vehicles Travelling East","39.796929","-105.085517",,,"0",,,"1"
"14045","14045","S Garrison St & W Florida Ave","Vehicles Travelling South","39.688853","-105.100405",,,"0",,,"1"
"25003","25003","W Grant Ranch Blvd & S Reed Way","Vehicles Travelling East","39.618522","-105.077785",,,"0",,,"1"
"15104","15104","S Lowell Blvd & W Oxford Ave","Vehicles Travelling North","39.642576","-105.034612",,,"0",,,"1"
"22958","22958","80th Ave & Larkwood St","Vehicles Travelling East","39.841661","-104.913906",,,"0",,,"1"
"13691","13691","Federal Blvd & W 100th Ave","Vehicles Travelling North","39.878662","-105.025023",,,"0",,,"1"
"16537","16537","S Sheridan Blvd & W Dakota Ave","Vehicles Travelling North","39.709965","-105.053176",,,"0",,,"1"
"23406","23406","South Boulder Rd & Etna Dr","Vehicles Travelling East","39.986869","-105.116501",,,"0",,,"1"
"19298","19298","W Jewell Ave & S Harlan Cir","Vehicles Travelling West","39.682304","-105.061597",,,"0",,,"1"
"15944","15944","S Peoria St & Mexico Ave","Vehicles Travelling South","39.685446","-104.847308",,,"0",,,"1"
"20309","20309","Evans Ave & S Quebec St","Vehicles Travelling Northwest","39.677819","-104.904694",,,"0",,,"1"
"15559","15559","Monaco Pkwy & Montview Blvd","Vehicles Travelling North","39.747741","-104.91241",,,"0",,,"1"
"12419","12419","W Bowles Ave & Echostar","Vehicles Travelling West","39.613298","-105.023398",,,"0",,,"1"
"17872","17872","N Public Rd & W Geneseo St","Vehicles Travelling South","39.999373","-105.090559",,,"0",,,"1"
"13116","13116","S Colorado Blvd & Florida Ave","Vehicles Travelling North","39.689612","-104.940486",,,"0",,,"1"
"18689","18689","W 58th Ave & Garrison St","Vehicles Travelling East","39.801867","-105.099919",,,"0",,,"1"
"18877","18877","Colorado Blvd & 119th Pl","Vehicles Travelling North","39.912039","-104.940148",,,"0",,,"1"
"17922","17922","Arapahoe Rd & 75th St","Vehicles Travelling West","40.014817","-105.179347",,,"0",,,"1"
"14277","14277","S Havana St & Mexico Ave","Vehicles Travelling South","39.685141","-104.866072",,,"0",,,"1"
"35278","35278","Community Center Dr & 112th Ave","Vehicles Travelling West","39.90016","-104.994333",,,"0",,,"1"
"15953","15953","S Peoria St & Virginia Dr","Vehicles Travelling South","39.705764","-104.847285",,,"0",,,"1"
"17175","17175","Washington St & 51st Ave","Vehicles Travelling North","39.789593","-104.978222",,,"0",,,"1"
"22732","22732","S 4th Ave & Jessup St","Vehicles Travelling North","39.977923","-104.818035",,,"0",,,"1"
"25864","25864","Morrison Rd & S Osceola St","Vehicles Travelling East","39.707509","-105.037934",,,"0",,,"1"
"15497","15497","Monaco Pkwy & 14th Ave","Vehicles Travelling South","39.738022","-104.912841",,,"0",,,"1"
"23387","23387","S Colorado Blvd & Virginia Ave","Vehicles Travelling North","39.707765","-104.940541",,,"0",,,"1"
"16844","16844","S University Blvd & Hampden Ave","Vehicles Travelling South","39.654238","-104.959552",,,"0",,,"1"
"12048","12048","Alameda Ave & S Monroe St","Vehicles Travelling North","39.711561","-104.945514",,,"0",,,"1"
"23014","23014","Peoria St & Albrook Dr","Vehicles Travelling North","39.782874","-104.846851",,,"0",,,"1"
"15088","15088","S Lowell Blvd & W Bowles Ave","Vehicles Travelling Northeast","39.610504","-105.036896",,,"0",,,"1"
"14164","14164","Hampden Ave & S Monaco Pkwy","Vehicles Travelling West","39.6532","-104.913586",,,"0",,,"1"
